OrderID,OrderDate,ShipDate,ShipMode,Segment,City,State,Region,Category,SubCategory,Sales,Quantity,Discount,Profit
CA-2016-152156,11/8/2016,11/11/2016,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.91
CA-2016-152156,11/8/2016,11/11/2016,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0,219.58
CA-2016-138688,6/12/2016,6/16/2016,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0,6.87
US-2015-108966,10/11/2015,10/18/2015,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.58,5,0.45,-383.03
US-2015-108966,10/11/2015,10/18/2015,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.37,2,0.2,2.52
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0,14.17
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0,1.97
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.15,6,0.2,90.72
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.5,3,0.2,5.78
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0,34.47
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.18,9,0.2,85.31
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.42,4,0.2,68.36
CA-2017-114412,4/15/2017,4/20/2017,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.55,3,0.2,5.44
CA-2016-161389,12/5/2016,12/10/2016,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.98,3,0.2,132.59
US-2015-118983,11/22/2015,11/26/2015,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.86
US-2015-118983,11/22/2015,11/26/2015,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.54,3,0.8,-3.82
CA-2014-105893,11/11/2014,11/18/2014,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.32
CA-2014-167164,5/13/2014,5/15/2014,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0,9.99
CA-2014-143336,8/27/2014,9/1/2014,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0,2.48
CA-2014-143336,8/27/2014,9/1/2014,Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.01
CA-2014-143336,8/27/2014,9/1/2014,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.38
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.06
CA-2016-137330,12/9/2016,12/13/2016,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0,15.69
US-2017-156909,7/16/2017,7/18/2017,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.37,2,0.3,-1.02
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0,240.26
CA-2016-121755,1/16/2016,1/20/2016,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.65,2,0.2,4.22
CA-2016-121755,1/16/2016,1/20/2016,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0,11.77
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.05
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.62,2,0.7,-7.05
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.53
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.26,2,0.2,1.1
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.3,6,0.2,9.71
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.86,6,0.7,-5.72
US-2015-150630,9/17/2015,9/21/2015,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.55
CA-2017-107727,10/19/2017,10/23/2017,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.47,3,0.2,9.95
CA-2016-117590,12/8/2016,12/10/2016,First Class,Corporate,Richardson,Texas,Central,Technology,Phones,1097.54,7,0.2,123.47
CA-2016-117590,12/8/2016,12/10/2016,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.96
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.33,9,0.2,35.42
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.4,3,0.32,-46.98
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.06,3,0.3,-15.15
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.17,4,0.2,41.76
CA-2017-120999,9/10/2017,9/15/2017,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.17,4,0.2,16.56
CA-2016-101343,7/17/2016,7/22/2016,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0,3.89
CA-2017-139619,9/19/2017,9/23/2017,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.62,2,0.2,9.56
CA-2016-118255,3/11/2016,3/13/2016,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0,19.77
CA-2016-118255,3/11/2016,3/13/2016,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0,8.21
CA-2014-146703,10/20/2014,10/25/2014,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0,8.48
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,Consumer,Dover,Delaware,East,Technology,Accessories,45,3,0,4.95
CA-2016-169194,6/20/2016,6/25/2016,Standard Class,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,0,6.1
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0,17.96
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0,35.33
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0,2.96
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0,17.1
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0,6.26
CA-2016-105816,12/11/2016,12/17/2016,Standard Class,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,0,298.69
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,0,52.14
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,0,15.55
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.1
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,0,6.99
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,Troy,New York,East,Technology,Accessories,30,2,0,3.3
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.36
CA-2016-111682,6/17/2016,6/18/2016,First Class,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0,0.84
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0,6.15
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.82,6,0.2,9.36
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0,68.96
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0,22.33
US-2015-164175,4/30/2015,5/5/2015,Standard Class,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.12,5,0.3,-15.22
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.02,8,0.2,111.3
CA-2014-106376,12/5/2014,12/10/2014,Standard Class,Corporate,Gilbert,Arizona,West,Technology,Phones,167.97,4,0.2,62.99
CA-2016-119823,6/4/2016,6/6/2016,First Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0,35.66
CA-2016-106075,9/18/2016,9/23/2016,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,4.62,1,0.2,1.73
CA-2017-114440,9/14/2017,9/17/2017,Second Class,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0,8.76
